Id, Image, Time, X, Y, Z, Heading, Roll, Pitch, Camera, Quality, Line, Color, AccuracyXyz
168,p000167.jpg,1727875041.7163,5.0686,0.2468,0.7198,-12.6030,1.1005,-2.1761,0,1,0,C0;0;0;0;0;0,0.1
169,p000168.jpg,1727875042.7163,5.1990,-0.3151,0.6766,1.1646,-0.8382,-4.0713,0,1,0,C0;0;0;0;0;0,0.1
170,p000169.jpg,1727875043.7163,5.3101,-0.8264,0.6738,3.3426,-2.1785,-5.4879,0,1,0,C0;0;0;0;0;0,0.1
171,p000170.jpg,1727875044.7583,5.3481,-1.4674,0.6451,3.1386,0.7597,-1.7993,0,1,0,C0;0;0;0;0;0,0.1
172,p000171.jpg,1727875045.7583,5.4171,-2.0964,0.6147,3.1039,0.8989,-0.7628,0,1,0,C0;0;0;0;0;0,0.1
173,p000172.jpg,1727875046.8003,5.4886,-2.6773,0.6040,-1.9597,0.0312,-4.8526,0,1,0,C0;0;0;0;0;0,0.1
174,p000173.jpg,1727875047.8003,5.4712,-3.3488,0.5815,-1.7154,1.1178,-2.0037,0,1,0,C0;0;0;0;0;0,0.1
175,p000174.jpg,1727875048.8003,5.5133,-3.9377,0.5724,1.1096,0.9120,-0.5635,0,1,0,C0;0;0;0;0;0,0.1
176,p000175.jpg,1727875049.8003,5.5586,-4.5048,0.5614,3.0632,1.5682,-4.3673,0,1,0,C0;0;0;0;0;0,0.1
177,p000176.jpg,1727875050.8413,5.4284,-5.1984,0.5410,12.7233,0.6320,-2.3568,0,1,0,C0;0;0;0;0;0,0.1
178,p000177.jpg,1727875051.8413,5.3166,-5.7334,0.5343,14.9598,1.9550,-2.8714,0,1,0,C0;0;0;0;0;0,0.1
179,p000178.jpg,1727875052.8413,5.1642,-6.2721,0.5115,14.6603,1.5387,-6.4880,0,1,0,C0;0;0;0;0;0,0.1
180,p000179.jpg,1727875053.8413,4.8723,-6.8180,0.5206,26.2923,0.6393,-6.6093,0,1,0,C0;0;0;0;0;0,0.1
181,p000180.jpg,1727875054.8833,4.6373,-7.3230,0.5414,23.2802,-1.7987,-4.7693,0,1,0,C0;0;0;0;0;0,0.1
182,p000181.jpg,1727875055.8833,4.3277,-7.8482,0.5248,26.9184,-2.0872,-3.4399,0,1,0,C0;0;0;0;0;0,0.1
183,p000182.jpg,1727875056.8833,4.0100,-8.4151,0.5226,28.6599,0.6586,-2.5014,0,1,0,C0;0;0;0;0;0,0.1
184,p000183.jpg,1727875057.9253,3.6879,-8.9982,0.4870,22.3425,-0.2589,-3.6513,0,1,0,C0;0;0;0;0;0,0.1
185,p000184.jpg,1727875058.9253,3.3202,-9.5577,0.4812,21.0145,-0.7171,-3.5252,0,1,0,C0;0;0;0;0;0,0.1
186,p000185.jpg,1727875059.9253,2.9700,-9.8977,0.4659,33.7444,0.5808,-2.4592,0,1,0,C0;0;0;0;0;0,0.1
187,p000186.jpg,1727875060.9663,2.4966,-10.2544,0.5225,34.1618,-0.4054,-3.4714,0,1,0,C0;0;0;0;0;0,0.1
188,p000187.jpg,1727875061.9663,1.9260,-10.5204,0.5483,36.2475,2.1527,-3.5713,0,1,0,C0;0;0;0;0;0,0.1
